channel_index,marker,horizontal_profile_hp_mad_ratio,horizontal_profile_hp_p99,horizontal_profile_hp_rms,vertical_profile_hp_mad_ratio,vertical_profile_hp_p99,vertical_profile_hp_rms,horizontal_tile_seam_ratio_512px,vertical_tile_seam_ratio_512px
36,SOX9,0.0,0.0,0.0,0.0,0.08029245585203171,0.09680364280939102,1.0,1.0
37,CD8,0.0,0.04073617607355118,0.05033336207270622,0.0,0.07549459487199783,0.09101913869380951,1.0,1.0
38,CD36,0.0,0.0,0.0,0.0,0.07875443994998932,0.09494934231042862,1.0,1.0
39,CD138,0.0,0.022726137191057205,0.028080273419618607,0.0,0.0741276815533638,0.08937114477157593,1.0,1.0
40,CD69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
41,CD49f,0.0,0.0,0.0,0.0,0.05874621123075485,0.07082666456699371,1.0,1.0
42,CD49a,0.0,3.218080997467041,0.7406940460205078,0.0,0.0,0.0,10143.326171875,1.0
43,CD68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
44,OLFM4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,Podoplanin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,CD45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
47,CD163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
48,CD44,0.0,2.386662721633911,0.49108195304870605,0.0,0.0,0.0,17378.376953125,1.0
49,CD56,0.0,1.6929508447647095,0.39194416999816895,0.0,0.0,0.0,26034.453125,1.0
50,Cytokeratin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
51,CD206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52,aDefensin5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
53,DRAQ5,0.14083363115787506,1.1032803058624268,0.2562357783317566,0.14229238033294678,0.9649499654769897,0.1779167205095291,2.8685009479522705,1.58466637134552
